[17:52:57][modifier.cpp:333]: Some interesting ones I didn't know of
[17:52:57][modifier.cpp:337]: [10] Tag: pop_ethics_shift_speed_mult, Categories: 2
[17:52:57][modifier.cpp:337]: [126] Tag: diplomacy_influence_cost, Categories: 512
[17:52:57][modifier.cpp:337]: [127] Tag: country_election_influence_cost_mult, Categories: 512
[17:52:57][modifier.cpp:337]: [139] Tag: faction_influence_mult, Categories: 512
[17:52:57][modifier.cpp:337]: [140] Tag: faction_influence_add, Categories: 512
[17:52:57][modifier.cpp:337]: [142] Tag: country_subject_acceptance_add, Categories: 512
[17:52:57][modifier.cpp:337]: [176] Tag: country_colony_influence_cost_mult, Categories: 512
[17:52:57][modifier.cpp:337]: [177] Tag: country_distant_colony_influence_cost_mult, Categories: 512
[17:52:57][modifier.cpp:337]: [189] Tag: mod_distance_to_capital_static_modifier_efficiency_mult, Categories: 409
[17:52:57][modifier.cpp:337]: [192] Tag: country_unrest_happy_pop_effect_mult, Categories: 4096
[17:52:57][modifier.cpp:337]: [193] Tag: country_unrest_unhappy_pop_effect_mult, Categories: 4096
[17:52:57][modifier.cpp:337]: [194] Tag: country_unrest_happy_slave_effect_mult, Categories: 4096
[17:52:57][modifier.cpp:337]: [195] Tag: country_unrest_unhappy_slave_effect_mult, Categories: 4096
[17:52:57][modifier.cpp:337]: [196] Tag: country_expansion_distance_mult, Categories: 512
